z,n,ni
2.691796144727599,1906.5594482930712,0.009434138627432854
2.6865168992667017,1906.6713841613036,0.00940337669453483
2.681210156051888,1906.7569842986993,0.009388006069696723
2.675930046226219,1906.8689291759079,0.009357285527434776
2.6706494772948317,1906.9808790654013,0.009326592627434476
2.6653415719340656,1907.0664902771898,0.009311256555457907
2.660060138530182,1907.1784491764938,0.0092806051919919
2.654751476259728,1907.2640674661225,0.009265289910306604
2.6494691783131663,1907.3760353757734,0.00923468017162067
2.6441597590726813,1907.4616607436717,0.009219385724482278
2.638876596513258,1907.5736376642092,0.009188817699353253
2.6335929747154614,1907.6856195980852,0.009158277532852152
2.6282823929999304,1907.7712560427751,0.009143017909035307
2.622997906481529,1907.8832469883698,0.009112519605261798
2.6176865676426426,1907.9688905124378,0.009097280935328089
2.612401216333447,1908.0808904702908,0.009066824584512767
2.6071154056907564,1908.1928954422365,0.009036396252737371
2.6018029041406696,1908.2785500448185,0.009021192606645578
2.596516228599431,1908.390564029857,0.008990806379449795
2.591202969772647,1908.4762257129262,0.008975623808537734
2.5859154292626614,1908.5882487115937,0.008945279777643922
2.5806014130988193,1908.6739174755799,0.008930118327915975
2.575313007549888,1908.7859494884196,0.008899816585614138
2.5700241425347636,1908.8979865163997,0.008869543087264632
2.5647089633305407,1908.9836663613003,0.008854416942516657
2.559419233168698,1909.0957124042839,0.008824185887857283
2.5541032964740515,1909.1813993312103,0.008809080988372017
2.5488127010952812,1909.2934543897366,0.008778892471239075
2.5435216461551757,1909.4055144641627,0.008748732364879755
2.5382045461839304,1909.4912124737252,0.008733662978904157
2.532912625919114,1909.6032815645276,0.008703545567778566
2.5275947683040623,1909.6889866572235,0.008688497553232963
2.5223019826443167,1909.80106476494,0.008658422932764418
2.517008737328079,1909.9131478893103,0.00862837689271306
2.511689716200188,1909.99886406637,0.008613364603729542
2.5063956053812286,1910.1109562084903,0.008583361514720611
2.501075826456126,1910.1966794697867,0.008568370725479287
2.4957808500642185,1910.3087806301946,0.008538410684565399
2.490485413920653,1910.4208868080127,0.008508479396607564
2.4851644712464447,1910.5066211554008,0.008493524548602903
2.4798681694221223,1910.6187363523381,0.008463636471880464
2.4745464687972856,1910.7044777850733,0.00844870325413011
2.469249301221977,1910.8166020016724,0.00841885848736624
2.463926842586125,1910.9023505201874,0.00840394694939385
2.4586288091895927,1911.014483756986,0.008374145591955222
