theta,x1,x2
14.183249657196576,24002.23694816057,0
14.183368677296622,24002.236978605393,3716845799967497e-22
14.183487697396668,24002.23700903926,7426641163369052e-22
14.183606717496712,24002.23703946216,11129385218102879e-22
14.183725737596758,24002.23706987407,14825077090265616e-22
14.183844757696804,24002.23710027497,1851371590414603e-21
14.18396377779685,24002.237130664846,2219530078221783e-21
14.184082797896895,24002.237161043675,25869830845132977e-22
14.184201817996941,24002.23719141144,2953730521171569e-21
14.184320838096985,24002.237221768122,3319772299895466e-21
14.184439858197031,24002.2372521137,3685108332199676e-21
14.184558878297077,24002.237282448157,4049738529414026e-21
14.184677898397123,24002.237312771475,4413662802682773e-21
14.184796918497169,24002.237343083634,47768810629639075e-22
14.184915938597213,24002.237373384614,5139393221028442e-21
14.185034958697258,24002.237403674397,55011991874597446e-22
14.185153978797304,24002.23743395296,5862298872652811e-21
14.18527299889735,24002.237464220285,6222692186813553e-21
14.185392018997396,24002.237494476354,65823790399580745e-22
14.185511039097442,24002.23752472115,6941359341911999e-21
14.185630059197486,24002.237554954645,7299633002309703e-21
14.185749079297532,24002.237585176827,765719993059357e-20
14.185868099397577,24002.237615387672,801406003601331e-20
14.185987119497623,24002.237645587164,8370213227625204e-21
14.186106139597669,24002.23767577528,8725659414291341e-21
14.186225159697713,24002.237705951997,9080398504678906e-21
14.186344179797759,24002.2377361173,9434430407259409e-21
14.186463199897805,24002.237766271166,9787755030307925e-21
14.18658221999785,24002.237796413578,10140372281902384e-21
14.186701240097896,24002.23782654451,10492282069922748e-21
14.186820260197942,24002.23785666395,10843484302050274e-21
14.186939280297986,24002.23788677187,11193978885766725e-21
14.187058300398032,24002.23791686825,11543765728353598e-21
14.187177320498078,24002.23794695307,1189284473689137e-20
14.187296340598124,24002.23797702631,12241215818258679e-21
14.18741536069817,24002.23800708795,12588878879131537e-21
14.187534380798214,24002.23803713797,12935833825982572e-21
14.18765340089826,24002.238067176346,13282080565080165e-21
14.187772420998305,24002.238097203055,13627619002487666e-21
14.187891441098351,24002.23812721808,1397244904406264e-20
14.188010461198397,24002.2381572214,14316570595455972e-21
14.188129481298443,24002.23818721299,1465998356211107e-20
14.188248501398487,24002.238217192833,15002687849263059e-21
14.188367521498533,24002.238247160905,15344683361937964e-21
14.188486541598579,24002.238277117183,15685970004951826e-21
14.188605561698624,24002.23830706165,1602654768290987e-20
14.18872458179867,24002.238336994276,16366416300205702e-21
14.188843601898714,24002.238366915048,1670557576102042e-20
