x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,z,n,l,p,theta
155.63106202202633,-0.7260489364647164,5.927845526905664,-1.228332020876975,-31.91248987805596,1.0,114.10522727228714,0.8,-78.1024295670687,-53.392202939421736,-1.4609689852772358,0.5976994415132778,0.0,11730.472445437215,5.062017580255534e-6,8.537951138593385e-11,0.512468000318221
155.63106202563966,-0.7246064920894174,5.9278455269098105,-1.2175904233719412,-32.136979028142214,1.0,114.10522727715191,0.8,-78.102429562168,-53.39220293941302,-1.4609689854311945,0.6019039720951346,0.0,9880.402150213105,7.826149554550843e-6,1.7107936615189014e-10,0.5459375585493852
155.63106203186936,-0.723062479687555,5.927845526917866,-1.2059173527864218,-32.377275318123516,1.0,114.10522728554584,0.8,-78.10242955370435,-53.39220293939533,-1.460968985696987,0.6064045597608037,0.0,8433.648199085264,1.1700598038973892e-5,3.245614094184066e-10,0.5794071167805492
155.63106204217192,-0.7214214941031531,5.927845526932745,-1.1933341902897088,-32.63266364758509,1.0,114.10522729943786,0.8,-78.10242953968363,-53.392202939361326,-1.4609689861371253,0.6111878111612422,0.0,7282.965700501149,1.6987551835944967e-5,5.870231521068932e-10,0.6128766750117134
155.6310620585989,-0.7196881964077105,5.927845526959032,-1.1798649770304408,-32.902418609083206,1.0,114.1052273216032,0.8,-78.10242951729107,-53.392202939298954,-1.4609689868397944,0.6162401399037538,0.0,6354.011209749673,2.4034433163304376e-5,1.0180393362467299e-9,0.6463462332428775
155.6310620839592,-0.7178672522132888,5.927845527003692,-1.1655357529413126,-33.18581408855444,1.0,114.10522735584348,0.8,-78.10242948266506,-53.39220293918924,-1.4609689879259042,0.6215479463612176,0.0,5594.071195290533,3.3234581173281165e-5,1.701033685466293e-9,0.6798157914740417
155.63106212200375,-0.7159632846548267,5.927845527076963,-1.1503740110276415,-33.48213058274034,1.0,114.10522740723736,0.8,-78.10242943063884,-53.39220293900328,-1.4609689895571287,0.6270977547225621,0.0,4965.010631936194,4.502741737236664e-5,2.7495760786133283e-9,0.7132853497052057
155.63106217763246,-0.7139808389371751,5.92784552719349,-1.1344082480743398,-33.790660716785126,1.0,114.10522748242045,0.8,-78.10242935445096,-53.39220293869841,-1.4609689919449058,0.6328763163337061,0.0,4438.741060128354,5.989815477613593e-5,4.3144738513571745e-9,0.7467549079363699
155.63106225712178,-0.7119243559991947,5.927845527373696,-1.1176675957348476,-34.11071334293845,1.0,114.10522758989296,0.8,-78.10242924542595,-53.392202938213266,-1.4609689953603524,0.6388706864635683,0.0,3994.236803547511,7.837711486631969e-5,6.5916064125508295e-9,0.7802244661675339
155.63106236837228,-0.7097981533625523,5.927845527645433,-1.1001815185780897,-34.441616521099114,1.0,114.10522774035309,0.8,-78.102429092627,-53.39220293746178,-1.4609690001450262,0.6450682801277283,0.0,3615.5274018010855,0.00010103871548500764,9.83043646488247e-9,0.8136940243986981
