0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
-nan , -nan , -nan , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
-nan , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
-nan , -nan , -nan , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0.00245723 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.10367e-06 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 
0.00192786 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000262885 , 
-nan , -nan , -nan , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 1 , 
0 , 0 , 0 , 0 , 5.21425e-13 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0.199248 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , 0.167886 , 1 , 1 , 0.0122865 , 0.00373151 , 
-nan , -nan , -nan , -nan , 0 , 0 , -nan , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0.0829064 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 1 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0.00100467 , 0.00070006 , 0.00053161 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2.66002e-06 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
-nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , -nan , 
0.000633702 , 0.000583169 , 0.00052025 , 0.000473475 , 0.000420929 , 0.000364016 , 0.000391524 , 0.000269163 , 0.000218772 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
-nan , -nan , -nan , -nan , -nan , -nan , 1 , 0.0344848 , 0 , 
0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 
