nan , nan , nan , nan , nan , nan , nan , nan , nan , 
nan , nan , nan , nan , nan , nan , nan , nan , nan , 
nan , nan , nan , nan , nan , nan , nan , nan , nan , 
nan , nan , nan , nan , nan , nan , nan , nan , nan , 
nan , nan , nan , nan , nan , nan , nan , nan , nan , 
nan , nan , nan , nan , nan , nan , nan , nan , inf , 
nan , nan , nan , nan , nan , nan , nan , nan , nan , 
0.150163 , 0.375923 , 0.659488 , 1.0417 , 1 , 0.847789 , 0.799038 , 0.736986 , 8.10663 , 
nan , nan , nan , nan , nan , nan , inf , inf , inf , 
nan , nan , nan , nan , nan , nan , nan , nan , nan , 
0.371959 , 0.534825 , 0.672659 , 0.811947 , 1 , 1.20339 , 1.45376 , 1.9237 , 3.06905 , 
