thw;the;baseTn;Tn;TnPrima;baseTc;Tc;TcPrima;baseTl;Tl;TlPrima
6.213444115;9.988368099;590.697056;181.9623988;0.043216469;81.09557735;702.4968391;0.321915067;3.989353711;-331.5187862;0.826794645
6.22473271;9.988389985;576.6142568;182.617954;0.049883659;78.44054945;703.3618604;0.329694861;4.039713811;-331.4771621;0.826266754
6.236041814;9.98841284;563.1914725;183.3314627;0.056429406;75.74124194;704.2608154;0.33636859;4.090838115;-331.4349334;0.825734775
6.247371464;9.988436667;550.3789953;184.0956642;0.062860795;73.00875459;705.1878767;0.342178945;4.142733194;-331.3920957;0.825198802
6.258721698;9.988461471;538.1333589;184.9041488;0.069183722;70.25246392;706.1380734;0.347296029;4.195406346;-331.3486442;0.824658915
6.270092553;9.988487261;526.4148812;185.7513219;0.075403844;67.4800682;707.1072205;0.351844465;4.24886589;-331.3045728;0.824115173
6.281484067;9.988514047;515.1882842;186.6322161;0.081526036;64.69815359;708.0916879;0.355918082;4.303120588;-331.2598756;0.82356763
6.292896276;9.988541843;504.4214716;187.5424471;0.087554826;61.91225698;709.0883531;0.359589554;4.358179783;-331.2145458;0.823016327
6.30432922;9.988570662;494.085284;188.4781263;0.093494363;59.12707748;710.0945074;0.362916325;4.414053269;-331.1685765;0.822461303
6.315782935;9.988600522;484.1531445;189.4357972;0.099348464;56.34661311;711.1077933;0.365944608;4.470751238;-331.1219605;0.821902587
6.327257459;9.988631437;474.6009027;190.412366;0.105120566;53.57431378;712.1261375;0.368712108;4.528284171;-331.0746902;0.821340207
6.33875283;9.988663428;465.4061809;191.4050951;0.110813994;50.8130565;713.1477505;0.371250094;4.586663005;-331.0267579;0.820774184
6.350269086;9.988696512;456.5484142;192.4115404;0.116431843;48.06528878;714.171067;0.373584733;4.645898996;-330.9781554;0.820204535
6.361806264;9.988730709;448.0087186;193.4295097;0.121976965;45.33310941;715.1947092;0.375738126;4.706003678;-330.9288745;0.819631277
6.373364403;9.988766041;439.7697065;194.4570339;0.127451997;42.61831657;716.217463;0.377729111;4.766988847;-330.8789067;0.819054423
6.384943541;9.98880253;431.8152928;195.4923462;0.132859405;39.92243618;717.2382621;0.379573881;4.828866585;-330.8282435;0.818473983
